Source,Target,Count
mindthegap,fridayforfuture,5
fridaysforfuture,withdrawthecap,5
glasgow,globalclimatestrike,5
climateaction,glasgow,5
schoolstrike4climate,fff,5
digitalstrike,climatecrisis,5
fridaysforfuture,cleanupstandardchartered,5
climateactionnow,cop26,5
climateactionnow,climatechange,5
fridays4future,globalclimatestrike,5
climatestrike,digitalstrike,5
climateactionnow,schoolstrike4climate,5
schoolstrike4climate,fightfor1point5,5
uprootthesystem,endfossilfuels,4
climatecrisis,klimakrise,4
fridaysforfuture,klimakrise,4
digitalstrike,globalclimatestrike,4
nomoreemptypromises,cop26glasgow,4
climatecrisis,climate,4
climateaction,klimakrise,4
climatecrisis,endfossilfuels,4
climatecrisis,klimastreik,4
digitalstrike,gretathunberg,4
climatecrisis,climatejusticenow,4
fridayforfuture,страйкзаклімат,4
nomoreemptypromises,klimastreik,4
nomoreemptypromises,страйкзаклімат,4
fridaysforfuture,unitebehindthescience,4
nomoreemptypromises,climatejusticenow,4
cop26glasgow,globalclimatestrike,4
digitalstrike,cop26,4
climatecrisis,страйкзаклімат,4
digitalstrike,fff,4
mindthegap,climatechange,4
climatecrisis,glasgow,4
climatestrike,raiseyourstandards,4
climateaction,unitebehindthescience,4
endfossilfuels,unitebehindthescience,4
fridayforfuture,cleanupstandardchartered,4
gretathunberg,klimastreik,4
klimastreik,globalclimatestrike,4
nomoreemptypromises,unitebehindthescience,4
mindthegap,fridays4future,4
gretathunberg,climatejusticenow,4
fridaysforfuture,endfossilfuels,4
gretathunberg,fightfor1point5,4
gretathunberg,fff,4
gretathunberg,extinctionrebellion,4
climateaction,raiseyourstandards,4
climatecrisis,bundestagswahl21,4
cop26,extinctionrebellion,4
schoolstrike4climate,bundestagswahl21,4
climatecrisis,unitebehindthescience,4
fightfor1point5,страйкзаклімат,4
climatecrisis,cleanupstandardchartered,4
climatestrike,bundestagswahl21,4
fridayforfuture,raiseyourstandards,4
nomoreemptypromises,endfossilfuels,4
uprootthesystem,greta,4
cop26,klimakrise,4
nomoreemptypromises,extinctionrebellion,4
fightfor1point5,raiseyourstandards,4
climateaction,extinctionrebellion,4
fridays4future,cop26glasgow,4
fridays4future,fff,4
extinctionrebellion,globalclimatestrike,4
fridays4future,fightfor1point5,4
uprootthesystem,unitebehindthescience,4
schoolstrike4climate,extinctionrebellion,4
climateaction,endfossilfuels,4
climateaction,cop26glasgow,4
fridays4future,glasgow,4
climateemergency,greta,4
fightfor1point5,cleanupstandardchartered,4
climatejusticenow,globalclimatestrike,4
schoolstrike4climate,cop26glasgow,4
climatestrike,withdrawthecap,4
climateaction,страйкзаклімат,4
climatejusticenow,klimastreik,4
schoolstrike4climate,climate,4
climatejustice,cop26,4
climatejustice,climatechange,4
climatejustice,fridayforfuture,4
schoolstrike4climate,klimastreik,4
schoolstrike4climate,actnow,4
fff,globalclimatestrike,4
schoolstrike4climate,climatejusticenow,4
climatejustice,mindthegap,4
climateemergency,cop26glasgow,4
fridays4future,extinctionrebellion,4
climatecrisis,fridays4future,4
climateemergency,digitalstrike,4
digitalstrike,climatechange,4
nomoreemptypromises,klimakrise,4
climatejustice,globalclimatestrike,4
ilmastolakko,ilmastokriisi,4
digitalstrike,fridayforfuture,4
climateaction,actnow,4
climateaction,climatejusticenow,4
fightfor1point5,facetheclimateemergency,4
climateaction,withdrawthecap,4
withdrawthecap,raiseyourstandards,4
fightfor1point5,actnow,4
fridaysforfuture,greta,4
climateemergency,klimastreik,4
digitalstrike,schoolstrike4climate,4
climateaction,klimastreik,4
cleanupstandardchartered,withdrawthecap,4
climateemergency,extinctionrebellion,4
fridays4future,climatechange,4
digitalstrike,mindthegap,4
climateemergency,fff,4
schoolstrike4climate,greta,4
climateaction,cleanupstandardchartered,4
digitalstrike,fightfor1point5,4
extinctionrebellion,cop26glasgow,4
climateemergency,climatejusticenow,4
climatestrikeonline,globalstrike,4
digitalstrike,facetheclimateemergency,4
fridaysforfuture,actnow,4
climatestrike,climatejusticenow,4
climatestrike,actnow,4
uprootthesystem,klimakrise,4
climatestrikeonline,cop26glasgow,4
climatestrike,climate,4
climatestrikeonline,unitebehindthescience,4
fridayforfuture,withdrawthecap,4
uprootthesystem,extinctionrebellion,4
fridayforfuture,cop26glasgow,4
climatestrike,extinctionrebellion,4
climatestrike,klimakrise,4
climateactionnow,facetheclimateemergency,4
cop26,klimastreik,4
fridaysforfuture,climate,4
climatestrikeonline,klimastreik,4
fridaysforfuture,страйкзаклімат,4
climatestrikeonline,climatejusticenow,4
climatestrikeonline,actnow,4
fightfor1point5,withdrawthecap,4
uprootthesystem,cop26glasgow,4
climatecrisis,raiseyourstandards,4
climatestrike,страйкзаклімат,4
climatestrike,klimastreik,4
climatestrikeonline,endfossilfuels,4
cop26,cop26glasgow,4
klimakrise,fff,4
climatechange,klimastreik,4
climatechange,facetheclimateemergency,4
climatestrike,ilmastokriisi,4
climatechange,climatejusticenow,4
climatestrike,ilmastolakko,4
climatechange,fightfor1point5,4
fridaysforfuture,bundestagswahl21,4
fridaysforfuture,cop26glasgow,4
fridaysforfuture,neubauer,4
climatechange,fff,4
climatechange,glasgow,4
climatestrike,cop26glasgow,4
fridaysforfuture,globalstrike,4
klimakrise,fightfor1point5,4
fridayforfuture,klimastreik,4
climatestrikeonline,climate,4
fridayforfuture,climatejusticenow,4
fridaysforfuture,extinctionrebellion,4
uprootthesystem,klimastreik,4
fridaysforfuture,ilmastokriisi,4
fridaysforfuture,klimastreik,4
fridaysforfuture,ilmastolakko,4
climateactionnow,mindthegap,4
uprootthesystem,climatejusticenow,4
fridayforfuture,extinctionrebellion,4
cop26,climatejusticenow,4
uprootthesystem,actnow,4
climateactionnow,fridays4future,4
climatestrikeonline,bundestagswahl21,4
climateactionnow,klimakrise,4
climatestrike,cleanupstandardchartered,4
climatestrike,greta,4
nomoreemptypromises,withdrawthecap,4
climatecrisis,withdrawthecap,4
fridayforfuture,klimakrise,4
fridaysforfuture,climatejusticenow,4
gretathunberg,cop26glasgow,4
climatestrikeonline,klimakrise,4
climatestrikeonline,extinctionrebellion,4
gretathunberg,greta,3
votethiscapdown,globalclimatestrike,3
fff,страйкзаклімат,3
uprootthesystem,actonclimate,3
fff,neubauer,3
fff,cop26glasgow,3
uprootthesystem,climate,3
fff,votethiscapdown,3
uprootthesystem,neubauer,3
climateaction,allefür1komma5,3
climatestrikeonline,cleanupstandardchartered,3
fightfor1point5,endfossilfuels,3
actnow,allefür1komma5,3
fff,endfossilfuels,3
greennewdeal,fightfor1point5,3
fff,nomoreblahblahblah,3
mindthegap,keepitintheground,3
fff,glasgow,3
climatestrike,irtiturpeesta,3
fridayfeeling,globalclimatestrike,3
actnow,ff,3
fff,actnow,3
fridaysforfuture,anotherworldispossible,3
globalclimatestrike,nomoreemptysummits,3
fridaymorning,fridaythoughts,3
climatestrikeonline,friday,3
actnow,globalclimatestrike,3
votethiscapdown,glasgow,3
greennewdeal,globalclimatestrike,3
fridays4future,anotherworldispossible,3
votethiscapdown,greta,3
fff,climate,3
gretathunberg,berlin,3
climatestrikeonline,bundestagswahl,3
fff,makeparisreal,3
cop26glasgow,blackfriday,3
actnow,bundestagswahl,3
nomoreemptypromises,nomoreemptysummits,3
fff,climatejusticenow,3
fridays4future,globalstrike,3
globalclimatestrike,rt,3
fff,facetheclimateemergency,3
fff,greta,3
fff,klimastreik,3
fff,ilmastolakko,3
fff,ilmastokriisi,3
fridaysforfuture,irtiturpeesta,3
mindthegap,extinctionrebellion,3
fightfor1point5,greta,3
fightfor1point5,rt,3
fightfor1point5,glasgow,3
fridayforfuture,fridaythoughts,3
gretathunberg,unitebehindthescience,3
mindthegap,cop26glasgow,3
fff,nytonpakko,3
fridayforfuture,allefür1komma5,3
digitalstrike,fridays4future,3
fff,unitebehindthescience,3
globalclimatestrike,allefür1komma5,3
fff,bundestagswahl,3
gretathunberg,nomoreemptysummits,3
climatestrikeonline,withdrawthecap,3
makeparisreal,raiseyourstandards,3
fridays4future,pride,3
co2,greta,3
nomoreemptypromises,allefür1komma5,3
fff,bundestagswahl21,3
globalclimatestrike,fridaythoughts,3
fff,precop26,3
mindthegap,actonclimate,3
nomoreemptypromises,fridaythoughts,3
fff,laschet,3
fightfor1point5,nomoreblahblahblah,3
mindthegap,fightfor1point5,3
fridayfeeling,rt,3
nomoreemptypromises,ff,3
fff,klimawahl,3
uprootthesystem,makeparisreal,3
fightfor1point5,fridaymotivation,3
nomoreemptypromises,gogreen,3
mindthegap,fff,3
uprootthesystem,klimawandel,3
votethiscapdown,precop26,3
digitalstrike,klimakrise,3
fridays4future,precop26,3
climatestrikeonline,berlin,3
fff,cleanupstandardchartered,3
uprootthesystem,co2,3
votethiscapdown,globalstrike,3
gretathunberg,bundestagswahl,3
mindthegap,glasgow,3
mindthegap,friday,3
climatestrikeonline,nomoreemptysummits,3
climatestrikeonline,nytonpakko,3
actnow,anotherworldispossible,3
uprootthesystem,riseupmovement,3
fridayforfuture,nordstream2,3
climatestrikeonline,nomoreblahblahblah,3
fridayforfuture,berlin,3
klimawahl,withdrawthecap,3
fridays4future,bundestagswahl,3
climatestrikeonline,greta,3
fridaysforfuture,rt,3
fightfor1point5,fridaymorning,3
uprootthesystem,greennewdeal,3
fightfor1point5,fridayfeeling,3
precop26,globalstrike,3
uprootthesystem,страйкзаклімат,3
allefür1komma5,anotherworldispossible,3
climatestrikeonline,actonclimate,3
nomoreblahblahblah,ff,3
nomoreemptypromises,makeparisreal,3
gretathunberg,blackfriday,3
fridayforfuture,pride,3
gretathunberg,keepitintheground,3
globalclimatestrike,gogreen,3
nomoreemptypromises,neubauer,3
nomoreemptypromises,nomoreblahblahblah,3
fridayforfuture,globalstrike,3
climatestrikeonline,riseupmovement,3
nomoreemptypromises,blackfriday,3
fightfor1point5,klimawahl,3
nomoreemptypromises,votethiscapdown,3
nomoreemptypromises,fridaymotivation,3
climatestrikeonline,ilmastolakko,3
climatestrikeonline,ilmastokriisi,3
uprootthesystem,votethiscapdown,3
gretathunberg,votethiscapdown,3
gretathunberg,globalstrike,3
nomoreemptypromises,actonclimate,3
fightfor1point5,laschet,3
fridaysforfuture,gogreen,3
nomoreemptypromises,actnow,3
fridayforfuture,klimawahl,3
globalclimatestrike,globalstrike,3
fightfor1point5,allefür1komma5,3
fridayforfuture,bundestagswahl21,3
nomoreemptypromises,riseupmovement,3
climatestrikeonline,ff,3
globalclimatestrike,anotherworldispossible,3
fridaysforfuture,pride,3
globalclimatestrike,bundestagswahl21,3
fridayforfuture,gogreen,3
nomoreblahblahblah,allefür1komma5,3
gretathunberg,actnow,3
gretathunberg,co2,3
climatestrikeonline,co2,3
gretathunberg,climate,3
climatestrikeonline,klimawandel,3
uprootthesystem,blackfriday,3
gretathunberg,riseupmovement,3
fridaysforfuture,nomoreemptysummits,3
nomoreblahblahblah,bundestagswahl,3
gretathunberg,actonclimate,3
globalclimatestrike,bundestagswahl,3
gretathunberg,bundestagswahl21,3
nomoreemptypromises,bundestagswahl,3
climateaction,anotherworldispossible,3
globalclimatestrike,precop26,3
gretathunberg,klimakrise,3
nomoreemptypromises,nordstream2,3
globalclimatestrike,berlin,3
nomoreemptypromises,berlin,3
fightfor1point5,ff,3
nomoreemptypromises,precop26,3
nomoreemptypromises,keepitintheground,3
nomoreblahblahblah,globalclimatestrike,3
nomoreemptypromises,greta,3
climateaction,theworldiswatching,3
