Source,Target,Count
 klimakrise, hochwasser,2
 klimakrise,zdf,1
 klimakrise,lebenretten,1
 klimakrise, nowater,1
 klimakrise,tatort,1
 klimakrise, fossileimagination,1
 klimakrise, zukunft,2
 klimakrise,eilmeldung,1
 klimakrise, pflanzenmilch,1
 klimakrise, changeiscoming,1
 klimakrise,nature,1
 klimakrise, keingradweiter,2
 klimakrise, merkel,1
 klimakrise, windkraft,2
 klimakrise, bundesregierung,2
 klimakrise, klimaurteil,1
 klimakrise, coronavirus,6
 klimakrise,plurv,1
 klimakrise, unteilbar,1
 klimakrise, endegelände,1
 klimakrise, ödp,1
 klimakrise, allefür1komma5grad,1
 klimakrise, naturephotography,1
 klimakrise,umwelt,1
 klimakrise,dürre,1
 klimakrise, wakeup,1
 klimakrise,eeg,1
 klimakrise, fighteverycrisis,5
 klimakrise,throwback,1
 klimakrise, teamcows,2
 klimakrise, stayhome,1
 klimakrise, coronakrise,2
 klimakrise,bundesregierung,1
 klimakrise, amazon,1
 klimakrise,dbdk20,1
 klimakrise, worldchildrensday,1
 klimakrise, kinder,2
 klimakrise,rwe,1
 klimakrise,methan,1
 klimakrise,sogeht1komma5,2
 klimakrise, ökodiktatur,1
 klimakrise,bamberg,1
 klimakrise, klimaneustart2020,1
 klimakrise,erderwärmung,1
 klimakrise, hambibleibt,1
 klimakrise, sosamazonia,1
 klimakrise, linke,3
 klimakrise, schüler,1
 klimakrise,keingradweiter,1
 klimakrise,coronakrise,3
 klimakrise, aufwachen,1
 klimakrise, schuetztunseremeere,1
 klimakrise, kretschmann,1
 klimakrise, klimaliste,1
 klimakrise, erneuerbarenenergien,1
 klimakrise, klimapaket,6
 klimakrise, agrar,1
 klimakrise, endcoalnow,1
 klimakrise, bolsonaro,1
 klimakrise, groko,1
 klimakrise, sexismus,1
 klimakrise,salzburgerfestspiele,1
 klimakrise,raf,1
 klimakrise,parentsforfuture,1
 klimakrise, cop25,2
 klimakrise, klimahysterie,1
 klimakrise, nachhaltigkeit,1
 klimakrise, grossekohlekoalition,1
 klimakrise,klimaschutzpaket,1
 klimakrise, berlin4future,1
 klimakrise,datteln4,1
 klimakrise,svenplöger,1
 klimakrise,leavenoonebehind,1
 klimakrise,covid_19,1
 klimakrise, schildermeerfürsklima,1
 klimakrise, kohlekraftwerk,1
 klimakrise, kurz,1
 klimakrise,solarpark,1
 klimakrise, patriarchat,2
 klimakrise,arbeit,1
 klimakrise, systemwandel,1
 klimakrise, howdareyou,1
 klimakrise,netzstreikfürsklima,1
 klimakrise,vw,1
 klimakrise, diess,1
 klimakrise, absatzhilfen,1
 klimakrise, benziner,1
