Id,Count,Named,Original
sustainable,447,unamed,sustainable
stopeacop,442,unamed,stopeacop
arctic,442,unamed,arctic
 madrid,440,unamed, madrid
windenergie,440,unamed,windenergie
 coronavirus,439,Covid,corona
cleanenergy,437,unamed,cleanenergy
tankrabatt,434,unamed,tankrabatt
 cop25madrid,432,Agreement,cop25
großekohlekoalition,431,unamed,großekohlekoalition
oceans,427,unamed,oceans
covid,426,Covid,covid
scientists4future,424,unamed,scientists4future
covidー19,421,Covid,covidー19
keepitintheground,420,unamed,keepitintheground
unteilbar,420,unamed,unteilbar
airpollution,419,unamed,airpollution
nrw,419,unamed,nrw
vollgasindiekrise,417,Material,gas
germany,416,unamed,germany
rassismus,415,unamed,rassismus
energy,413,unamed,energy
future,413,unamed,future
oil,406,unamed,oil
grüne,406,unamed,grüne
mondaymotivation,405,unamed,mondaymotivation
cop25madrid,405,Agreement,cop25
reichthaltnicht,403,unamed,reichthaltnicht
socialjustice,402,unamed,socialjustice
lützerathbleibt,398,DE Actions,lützerath
amazon,398,unamed,amazon
voteclimate,397,#FridayForFuture,climate
kohlegesetz,395,unamed,kohlegesetz
solar,393,unamed,solar
 stopadani,392,unamed, stopadani
 klimapaket,392,FFF DE,klima
autokorrektur,392,unamed,autokorrektur
diesel,392,unamed,diesel
carbon,390,unamed,carbon
heatwave,389,unamed,heatwave
endfossilfuels,386,Material,fossilfuels
hamburgwähltklima,385,FFF DE,klima
worldenvironmentday,384,unamed,worldenvironmentday
mapa,384,unamed,mapa
lufthansa,380,unamed,lufthansa
osterholzbleibt,378,unamed,osterholzbleibt
schoolstrikeforclimate,375,#FridayForFuture,climate
annewill,374,unamed,annewill
umwelt,371,unamed,umwelt
wind,370,unamed,wind
kohle,368,unamed,kohle
trees,365,unamed,trees
australiaburning,364,unamed,australiaburning
agrarwende,363,German politics,rwe
klimakonferenz,363,FFF DE,klima
raiseyourstandards,361,unamed,raiseyourstandards
l277,361,unamed,l277
codered,361,unamed,codered
usa,361,unamed,usa
demokratie,359,unamed,demokratie
africa,358,unamed,africa
ghg,357,unamed,ghg
stopdatteln4,357,FFF DE,datteln4
health,357,unamed,health
climatebrawl,356,#FridayForFuture,climate
green,356,unamed,green
illner,356,unamed,illner
racialjustice,356,unamed,racialjustice
csu,355,unamed,csu
abfckprämie,355,unamed,abfckprämie
theworldiswatching,352,unamed,theworldiswatching
g20,351,unamed,g20
thüringen,351,unamed,thüringen
autogipfel,347,unamed,autogipfel
wien,346,unamed,wien
köln,346,unamed,köln
publicclimateschool,346,#FridayForFuture,climate
streikmituns,346,unamed,streikmituns
 klimaschutzpaket,342,FFF DE,klimaschutz
schlussrunde,341,unamed,schlussrunde
noplanetb,338,unamed,noplanetb
dieerdebrennt,338,unamed,dieerdebrennt
cop26glasgow,335,Agreement,cop26
 neustartklima,335,FFF DE,klima
 stayathome,334,unamed, stayathome
warnstreik,334,unamed,warnstreik
standwithukraine,332,unamed,standwithukraine
stayhome,332,unamed,stayhome
food,331,unamed,food
ecocide,330,unamed,ecocide
hamburgwahl,330,unamed,hamburgwahl
glasgow,329,unamed,glasgow
in15jahrenaufnull,329,unamed,in15jahrenaufnull
 cop26,328,Agreement,cop26
 keingradweiter,327,FFF DE,keingradweiter
nazi,327,unamed,nazi
stopeumercosur,327,unamed,stopeumercosur
nrwähltklima,327,FFF DE,klima
energytransition,323,unamed,energytransition
 un,322,unamed, un
2020werdenwir,321,unamed,2020werdenwir
humanrights,320,unamed,humanrights
electricity,319,unamed,electricity
wildlife,319,unamed,wildlife
keinekohlefürdiekohle,319,unamed,keinekohlefürdiekohle
 fighteverycrisis,319,#FridayForFuture,fighteverycrisis
 nomoreemptypromises,315,Action,nomoreemptypromises
polizeiproblem,315,unamed,polizeiproblem
 netzstreikfürsklima,314,FFF DE,klima
moria,314,unamed,moria
brazil,313,unamed,brazil
environnement,313,unamed,environnement
entlastungspaket,313,unamed,entlastungspaket
 groko,312,German politics,groko
servicetweet,311,unamed,servicetweet
siemensfuelsfires,310,unamed,siemensfuelsfires
govegan,309,unamed,govegan
shoestrike,307,unamed,shoestrike
france,304,unamed,france
china,304,unamed,china
gruene,304,unamed,gruene
halle,301,unamed,halle
garkeinplan,301,unamed,garkeinplan
putin,300,unamed,putin
stayathome,298,unamed,stayathome
polizeigewalt,298,unamed,polizeigewalt
dieuhrtickt,298,unamed,dieuhrtickt
ev,297,unamed,ev
klimaziel,297,FFF DE,klima
keinkonsens,297,unamed,keinkonsens
kapitalismus,297,unamed,kapitalismus
 sosamazonia,296,unamed, sosamazonia
nichtwienrw,296,unamed,nichtwienrw
economy,296,unamed,economy
studentsforfuture,296,unamed,studentsforfuture
danni,294,unamed,danni
netzero,293,unamed,netzero
sosamazonia,292,unamed,sosamazonia
dannenröderforst,292,unamed,dannenröderforst
fffgegenrechts,290,#FridayForFuture,fff
climateactionsummit,288,Action,climateaction
36c3,286,unamed,36c3
youth,284,unamed,youth
 defendthedefenders,283,unamed, defendthedefenders
kohlekraftwerke,283,unamed,kohlekraftwerke
frankfurt,282,unamed,frankfurt
climateactivists,281,Action,activists
bundestagswahl,280,German politics,bundestag
b0108,280,unamed,b0108
 klimastreik,279,Action,klimastreik
 dannibleibt,279,DE Actions,dannibleibt
cduwahlprogramm,279,German politics,cdu
antarctica,278,unamed,antarctica
hartaberfair,278,unamed,hartaberfair
friday,275,#FridayForFuture,friday
futureofcap,275,unamed,futureofcap
hanau,275,unamed,hanau
uniper,274,unamed,uniper
klimalockdown,273,FFF DE,klima
klimaschutzziele,273,FFF DE,klimaschutz
 actonsahel,272,unamed, actonsahel
savetheplanet,272,unamed,savetheplanet
shell,272,unamed,shell
klimakriseistjetzt,271,FFF DE,klimakrise
hochwasser,271,unamed,hochwasser
drought,270,unamed,drought
world,270,unamed,world
dannenröderwald,270,unamed,dannenröderwald
 endegelände,269,DE Actions,endegelände
 climateactionsummit,268,Action,climateaction
demvoice1,268,unamed,demvoice1
baerbock,268,unamed,baerbock
valentinstag,267,unamed,valentinstag
demo,267,unamed,demo
