randomize,resolution,AID,IED,Conductance,Modularity,N_Community,Max_Dim_Community
True,0.0,0.6915880653858701,0.2979807696872867,0.8479066166162601,0.10287723330693536,1967,10062
True,0.1,0.5045754416238027,0.3552998958302999,0.8709515707395075,0.06242611519439749,2894,10164
True,0.2,0.6782166847994902,0.39290983419372855,0.86527573519956,0.2269334303448533,3264,7843
True,0.3,0.6753089418463171,0.39024788921498854,0.864662041637102,0.18806130117725625,3131,8681
True,0.4,0.7632307877569358,0.43175618380445424,0.8591536833506828,0.2887555789711135,3346,6701
True,0.5,2.112048169302443,0.8407880753682931,0.5417449757262218,0.4494575397318721,704,6219
True,0.6,2.490661958202228,0.8725176659793711,0.5052314060814062,0.4711571892091352,698,5028
True,0.7,2.32846498723088,0.8819163960372032,0.5368073647867283,0.46117084883306736,790,4082
True,0.8,2.471085091694253,0.8604794143263851,0.5523238460252322,0.4506014232578726,864,4739
True,0.9,4.1155371732695984,0.6301073753339543,0.11178714156333064,0.4868445688824569,133,5052
False,0.0,0.5110781308036516,0.2749791552860296,0.8530792488250887,0.03084769895893894,1800,11389
False,0.1,0.5195877806065761,0.36525324868799325,0.8632949272384415,0.2619805228120818,2952,7680
False,0.2,0.555373304040611,0.3753208212165115,0.8622794100715311,0.353902294472993,2999,6228
False,0.3,0.6485185150145591,0.3903783840578457,0.8585256351186161,0.28467804264027635,3012,7674
False,0.4,0.6556754088766601,0.4020111864049715,0.8571821281069761,0.3760094036715716,3103,5431
False,0.5,2.0677065388114637,0.8365169367516614,0.5446293727846219,0.4512493446883609,702,6424
False,0.6,2.187702630318501,0.8263716620758106,0.559843663589553,0.4545081306588051,800,5844
False,0.7,2.3488875966028915,0.8706682258090322,0.5453849921632654,0.4548231588026117,809,5252
False,0.8,2.3936652321680523,0.8680069571002199,0.5561360468543869,0.4550433257874092,866,4569
False,0.9,3.5656072305103295,0.618379815218623,0.19413255936030635,0.47624246227442213,177,5159
